;;;;;;;;;;;;;x,,
med_getting_trolled;Mediterranean Tolls;x
med_getting_trolled_desc;We are being taxed on the value of our goods passing through the strait. This harms our traders and prestige.;x
un_focus_at_home_title;§ERemove Domestic Focus§!;x
un_focus_at_home_desc;During the 70 day trial period our domestic focus can be removed, beyond that it can't.;x
home_focus_trial;§EDomestic Focus Trial§!;x
home_focus_trial_desc;Can remove Domestic Focus modifier during the first 70 days;x
changing_militarisation;Changing Militarisation;x
EVTNAME7777929;Militarisation;x
EVTDESC7777929;Instutions take time to have change affected in them, and the policies of the parties in power is what initiates these gradual shifts. Jingoism is locked to the two highest levels, pro-military to the top three, anti-military to the bottom three, and pacifism to the bottom two. The level can be raised or lowered by the executive anyway to a certain degree, as long as it doesnt violate these war policies. \n\n §BCheck the military policy descriptions to view allowed institutional changes§!;x
EVT7777929OPTA;Raise militarisation;x
EVT7777929OPTB;Maintain militarisation;x
EVT7777929OPTC;Lower militarisation;x
conscription;Militarisation;x
jingoism_desc;The military is the centrepiece of the state and military spending is prioritised.\n§YLocks militarisation levels to Mandatory and Partial§!;;;;;;;;;;x;;;;
pro_military_desc;The government is a strong supporter of the armed services.\n§YLocks militarisation levels to Mandatory, Partial and Volunteer§!;;;;;;;;;;x;;;;
anti_military_desc;The armed forces are a drain on the state coffers and the government feels money is better spent elsewhere.\n§YLocks militarisation levels to Partial, Volunteer and Disarmed§!;;;;;;;;;;x;;;;
pacifism_desc;The government is actively hostile to the interests of the military, feeling they are opposed to the government policies.\n§YLocks militarisation levels to Volunteer and Pacifism§!;;;;;;;;;;x;;;;
form_south_german_confederation_desc;While Germany was not united until the proclamation of the German Empire, following the Franco-Prussian war, rising nationalism in the 19th century had meant that unification had been on the cards long before that, with the Frankfurt assembly of 1848 being an important forerunner. By achieving a dominant position among the South German states, we can form the South German Confederation.\n§YAustrian formed SGF will lose all non-german land with the exception of a puppet Hungary§!;x
austrian_diplomatic_staff_title;Austrian Diplomatic Staff;x
austrian_diplomatic_staff_desc;Austrian diplomats are renowned for their smooth talking and effectiveness. They will greatly aid the German diplomatic effort on the world stage.;x
austrian_diplomatic_corps;Austrian Diploatic Corps;x
austrian_diplomatic_corps_desc;Austrian diplomats are renowned for their smooth talking and effectiveness;x
appoint_von_beust_title;Appoint Von Beust;x
appoint_von_beust_desc;Count Friedrich Ferdinand von Beust was a German and Austrian statesman. As an opponent of Otto von Bismarck, he attempted to conclude a common policy of the German middle states between Austria and Prussia.;x
von_beust;Von Beust;x
von_beust_desc;Count Friedrich Ferdinand von Beust was a German and Austrian statesman.;x
EVTNAME7777930;The California Boom;x
EVTDESC7777930;The California Gold Rush (1848–1855) was a gold rush that began on January 24, 1848, when gold was found by James W. Marshall at Sutter's Mill in Coloma, California. The news of gold brought approximately 300,000 people to California from the rest of the United States and abroad. The sudden influx of gold into the money supply reinvigorated the American economy, and the sudden population increase allowed California to go rapidly to statehood, in the Compromise of 1850. The Gold Rush had severe effects on Native Californians and accelerated the Native American population's decline from disease, starvation and the California genocide. The population of the state grew faster than any other state in the US at its peak.;x
EVTOPTA7777930;California shall boom!;x
california_population_boom;California Population Boom;x
california_population_boom_desc;The population of the state is growing rapidly due to immigration from across the USA and the world;x
EVTNAME7777931;The End of California's Boom;x
EVTDESC7777931;With the collapse of the Republic, the immigration wave that California once experienced is no more.;x
EVTOPTA7777931;California's golden days are behind it;x
establish_danube_federation_title;Found the Danubian Federation;x
establish_danube_federation_desc;The time has come for the new government to be implemented. Long live the Danubian Federation!\n§YMust accept the cultures via decisions§!;x
embrace_slovak_minority;Embrace the Slovak Minority;x
embrace_slovak_minority;We shall embrace our Slovak citizens, and elevate them to the status shared by that of the Hungarians.;x
embrace_romanian_minority;Embrace the Romanian Minority;x
embrace_romanian_minority;We shall embrace our Romanian citizens, and elevate them to the status shared by that of the Hungarians.;x
usa_claim_canada_title;Revenge for 1812;x
usa_claim_canada_desc;Now we control all of Canada East of the Great Lakes, we can claim it all for ourselves completing the tale of 1812.;x
liberal_group;Liberal & Radical parties;x
anarchist_group;Anarchists;x
phat_zombie_eic_title;Annex the EIC;x
phat_zombie_eic_desc;We can annex the EIC, as it is under the laws of our government and protected by our ships. Other nations will take slight at such a huge massing of land and people with minimal justification, and our upper class will not take kindly to such a move.;x
nat_frat_invented;National Fraternity Invented;x
EVTNAME7777932;Change in Citizenship Policy;x
EVTDESC7777932;Full citizenship will no longer be available to all equally. We shall limit enfranchisment once more.;x
residency_party;Residency Policy;x
remove_csa_cores_title;Solidifying the South;x
remove_csa_cores_desc;After the years or regional differences, Dixies and Texans have accepted the USA as their home country, letting the memories of the CSA fade into history.;x
debate_me_title;§EThe Great Debate§!;x
debate_me_desc;An ongoing debate is occuring in the Republic about the cultural direction and political principles of the government. The citizens are reconsidering their political priorities.;x
nv_cooldown;§CNational Value Cooldown§!;x
nv_cooldown_desc;We have recently concluded the great debate.;x
partial_ubi_fully_funded;Fully Funded Standard UBI;x
full_ubi_fully_funded;Fully Funded Advanced UBI;x
remove_dead_overlords_title;§EAbolish Dead Overlordship§!;x
remove_dead_overlords_desc;Remove the last legal vestiges of our former, now defunct, overlord.
bourgeois_dictatorship;Anarchy;x
TST_ADJ;South Tyrolean;x
mexican_central_america_title;Reintegration of Central America;x
mexican_central_america_desc;The FRCA consits of the territories of the former Captaincy General of Guatemala of New Spain, and was for a time part of Mexico. Political turmoil ensued in both Mexico and Central America, resulting in separation. Now we can reassert governorshp and integrate Central America once more.;x
mexican_colombian_cuba_title;Heir to Spanish Cuba;x
mexican_colombian_cuba_desc;As the preeminent heir to Spanish viceroyalties of the Americas, it is our right to integrate Cuba into our administration. Cuba shall be free!;x 
colombian_dominica_title;Colombian invitation to Dominican Republic;x
colombian_dominica_desc;At the time of its creation, this Colombia was the most prestigious country in Spanish America. John Quincy Adams, then Secretary of State and future president of the United States, claimed it to be one of the most powerful nations on the planet. This prestige, added to the personal stature of Simón Bolívar, resulted in independence movements in Cuba, the Dominican Republic, and Puerto Rico desiring to form an associated state with the republic.;x
colombian_southwards_title;South Andean Expansion;x
colombian_southwards_desc;Bolívar participated in the foundation of the first union of independent nations in Latin America, Gran Colombia, of which he was president from 1819 to 1830. Through further military campaigns, he ousted Spanish rulers from Ecuador, Peru, and Bolivia, the last of which was named after him. He was simultaneously president of Gran Colombia, Peru, and Bolivia, but soon after, his second-in-command, Antonio José de Sucre, was appointed president of Bolivia. Bolívar aimed at a strong and united Spanish America able to cope not only with the threats emanating from Spain and the European Holy Alliance but also with the emerging power of the United States. At the peak of his power, Bolívar ruled over a vast territory from the Argentine border to the Caribbean Sea.;x
EVTDESC60090;Lately a new communal order of life in $COUNTRY$ has been established. Old political orders have been torn down, and a new founding of our communties has taken place.;x
reassert_polish_claims_title;Reassert control on Congress Poland;x
reassert_polish_claims_desc;Our claims on Congress Poland will be respected, the Congress of Vienna will be respected, and our soverienty maintained.;x
EVTNAME1010018;The Easter Rising;x
EVTDESC1010018;The Easter Rising, also known as the Easter Rebellion, was an armed insurrection in Ireland during Easter Week in April 1916. The Rising was launched by Irish republicans against British rule in Ireland with the aim of establishing an independent Irish Republic while the United Kingdom was fighting the First World War. It was the most significant uprising in Ireland since the rebellion of 1798 and the first armed conflict of the Irish revolutionary period. Sixteen of the Rising's leaders were executed from May 1916, but the insurrection, the nature of the executions, and subsequent political developments ultimately contributed to an increase in popular support for Irish independence.;x
EVT1010018OPTA;Execute the traitors;x
EVT1010018OPTB;Fair trial & rule of law;x
change_german_capital_title;Move the Capital;x
change_german_capital_desc;Since the unification of Germany, considerations have been underway for a new capital. Cities have been nominated and we are ready to make a decision.;x
sign_the_geneva_convention_title;§ESign the Geneva Convention§!;Signer la convention de Genève;Genfer Konvention unterschreiben.;;Firmar la Convención de Ginebra;;;;;;;;;x
communist;Vanguardist;Communiste;Kommunistisch;;Comunista;;;;;;;;;x;;;;
communist_uh;Vanguardists want to enact social reforms, but want to see political reforms rolled back.;Les communistes veulent davantage de réformes sociales et le retrait des réformes politiques.;Kommunisten sind an zusätzlichen Sozialreformen interessiert, setzen sich aber für die Außerkraftsetzung von Politikreformen ein.;;Los comunistas quieren promulgar reformas sociales, pero rechazan las reformas políticas.;;;;;;;;;x;
communist_focus;Party loyalty towards §Yvanguardists§! ;Loyauté envers le parti §Ycommuniste§! ;Parteiloyalität gegenüber §Ycommunist§! ;;;;;;;;;;;x
proletarian_dictatorship;Vanguard Dictatorship;Dictature prolétaire;Proletarische Diktatur;;Dictadura del proletariado;;;;;;;;;x;;;;
planned_economy_desc;The government makes all decisions on the production and consumption of goods and services. \n§YTo prevent economic failure, administrative spending must be 60%+. §RBelow 20% is catastrophic.§!;;;;;;;;;;;;;x;;;;
