From;To;Type;Through;Data;Comment
#1083;1086;sea;2832;0;Tatar Straits
1087;1643;sea;2831;0;La Perouse Strait
1162;1165;sea;2788;0;Bahrain Strait
1309;1322;sea;2794;0;Palk Strait #Ceylon-S India
1310;1322;sea;2794;0;Palk Strait #Ceylon-S India
1384;1402;sea;2814;0;Straits of Johore
1384;1385;sea;2814;0;Straits of Johore to Singapore
1403;1413;land;2805;0;Sunda Strait
#1412;1851;sea;2782;0;Aden Strait
#1412;1875;sea;2782;0;Aden Strait
1418;1421;sea;2811;0;Strait of Madura
1420;1438;sea;2811;0;Bali Strait
1438;1442;sea;2811;0;Lombok Strait
1442;1440;sea;2811;0;Sumbawa Strait
1495;1499;sea;2823;0;Hainan Strait
1457;1461;sea;2849;0;Tacloban Strait
1640;1660;land;2843;0;Fukuoka Strait
1642;1672;sea;2841;0;Hakodate Strait
#1664;1666;land;2843;0;Matsuyama Strait
1667;1659;land;2843;0;Setto Strait
1411;1408;sea;2803;0;Gunungsitoli Strait
1404;1399;land;2813;0;Palak Panang Strait
1402;1398;sea;2814;0;Tanjungpinang Strait
1458;1455;land;2848;0;Mindoro Strait
1458;1459;sea;2848;0;Mindoro Strait
1458;1460;land;2850;0;Mindoro Strait
2565;1461;land;2850;0;Cebu Strait
2565;1460;land;2850;0;Cebu Strait
1461;1463;land;2850;0;Davao Strait
1462;1460;land;2850;0;Iloilo Strait
1462;1464;sea;2851;0;Sulu Strait
1440;1439;sea;2810;0;Sumbawa-Flores Strait
1440;1441;sea;2808;0;Sumbawa-Sumba Strait
1441;1443;sea;2809;0;Sumba-Roti Strait
1443;1445;sea;2809;0;Roti-Kaupeng Strait
1439;1444;sea;2809;0;Flores-Alor Strait
1444;1446;sea;2809;0;Alor-Dili Strait
1444;1451;sea;2854;0;Alor-Aru Strait
1446;1451;sea;2854;0;Dili-Aru Strait
1450;1449;sea;2853;0;Ceram-Ambon Strait
1449;1447;sea;2852;0;Ambon Strait
1447;1448;sea;2853;0;Ternate-Jilolo Strait
1451;1453;sea;2862;0;Aru-Sorong Strait
1450;1453;sea;2853;0;Ceram-Sorong Strait
1447;1434;sea;2852;0;Ternate Strait
1437;1436;sea;2810;0;Bulon-Kendari Strait
1435;1425;sea;2812;0;Palu-Tarakan Strait
1644;1089;sea;2839;0;Nemuru-Etorofu Strait
1089;1088;sea;2839;0;Etorofu-Shumshu Strait
#1088;1074;sea;2838;0;Shumshu-Petropavlovsk Strait
1679;1678;sea;2845;0;Amari-Okinawa Strait
1637;1635;sea;2829;0;Cheju-Kwangju Strait
#
# Oceanian Straits
#
2512;2516;sea;2876;0;Cook Strait #NZ
2512;2516;sea;2881;0;Cook Strait #NZ
2537;1531;sea;2858;0;Villan Strait #New Britain-New Ireland

#
# Impassables
#
1326;1589;impassable;0;0;scary mountain
1326;1592;impassable;0;0;scary mountain
1328;1589;impassable;0;0;scary mountain
#1329;1589;impassable;0;0;scary mountain
#1329;1590;impassable;0;0;scary mountain
#1329;1590;impassable;0;0;scary mountain
#1329;1593;impassable;0;0;scary mountain
1258;1593;impassable;0;0;scary mountain
1260;1593;impassable;0;0;scary mountain
1259;1593;impassable;0;0;scary mountain
1238;1592;impassable;0;0;scary mountain
1244;1592;impassable;0;0;scary mountain
1235;1592;impassable;0;0;scary mountain
1226;1592;impassable;0;0;scary mountain
1327;1592;impassable;0;0;scary mountain
1328;1592;impassable;0;0;scary mountain
1225;1594;impassable;0;0;scary mountain
1226;1594;impassable;0;0;scary mountain
1210;1594;impassable;0;0;scary mountain
1208;1594;impassable;0;0;scary mountain
1226;1598;impassable;0;0;scary mountain
1226;1591;impassable;0;0;scary mountain

#Alps

#727;735;impassable;0;0;Bergamo-Bozen
#727;734;impassable;0;0;Bergamo-Trent
#732;735;impassable;0;0;Treviso-Bozen
#732;615;impassable;0;0;Treviso-Lienz
#732;618;impassable;0;0;Treviso-Klagenfurth
#733;618;impassable;0;0;Udine-Klagenfurt
2669;735;impassable;0;0;Sondrio-Bozen
2669;734;impassable;0;0;Sondrio-Trent
2669;611;impassable;0;0;Sondrio-Chur
2669;2568;impassable;0;0;Sondrio-Lugano
3262;734;impassable;0;0;Belluno-Trent
3262;735;impassable;0;0;Belluno-Bozen
3262;615;impassable;0;0;Belluno-Lienz
3262;618;impassable;0;0;Belluno-Klagenfurt
#727;611;impassable;0;0;Bergamo-Chur
#727;2568;impassable;0;0;Bergamo-Lugano
722;605;impassable;0;0;Novara-Bern
2568;722;impassable;0;0;Lugano-Novara
609;722;impassable;0;0;Sitten-Novara
606;722;impassable;0;0;Lucerne-Novara

#Alaskan Panhandle

2;6;impassable;0;0;
2;17;impassable;0;0;
1;15;impassable;0;0;
1;16;impassable;0;0;
1;17;impassable;0;0;

#Siberia

2687;2682;impassable;0;0;Northern urals
2689;2682;impassable;0;0;Northern urals
2689;1062;impassable;0;0;Northern urals
1026;1062;impassable;0;0;Northern urals
2659;2657;impassable;0;0;Yamal-Yenisei
2659;2692;impassable;0;0;Yamal-Yenisei
2615;2692;impassable;0;0;Yamal-Yenisei
2646;2692;impassable;0;0;Yamal-Yenisei
2654;2653;impassable;0;0;Yenisei-Yakut
2654;2673;impassable;0;0;Yenisei-Yakut
2693;2673;impassable;0;0;Yenisei-Yakut
2655;2673;impassable;0;0;Yenisei-Yakut
2655;2651;impassable;0;0;Yenisei-Yakut
2675;2651;impassable;0;0;Yenisei-Yakut


#
# The canals
#
2711;2721;canal;369;1;Kiel Canal
2781;2769;canal;1755;2;Suez Canal
2968;3001;canal;1723;3;Panama Canal
2773;2774;canal;860;4;Bosphorus Strait
2772;2773;canal;859;5;Dardanelles Strait
#2724;2723;canal;301;6;English Channel

1;1329;sea;0;0;
2;1329;sea;0;0;
3;1329;sea;0;0;
4;1329;sea;0;0;
5;1329;sea;0;0;
6;1329;sea;0;0;
7;1329;sea;0;0;
8;1329;sea;0;0;
9;1329;sea;0;0;
10;1329;sea;0;0;
11;1329;sea;0;0;
12;1329;sea;0;0;
13;1329;sea;0;0;
14;1329;sea;0;0;
15;1329;sea;0;0;
16;1329;sea;0;0;
17;1329;sea;0;0;
18;1329;sea;0;0;
19;1329;sea;0;0;
20;1329;sea;0;0;
21;1329;sea;0;0;
22;1329;sea;0;0;
23;1329;sea;0;0;
24;1329;sea;0;0;
25;1329;sea;0;0;
26;1329;sea;0;0;
27;1329;sea;0;0;
28;1329;sea;0;0;
29;1329;sea;0;0;
30;1329;sea;0;0;
31;1329;sea;0;0;
32;1329;sea;0;0;
33;1329;sea;0;0;
34;1329;sea;0;0;
35;1329;sea;0;0;
36;1329;sea;0;0;
37;1329;sea;0;0;
38;1329;sea;0;0;
39;1329;sea;0;0;
40;1329;sea;0;0;
41;1329;sea;0;0;
42;1329;sea;0;0;
43;1329;sea;0;0;
44;1329;sea;0;0;
45;1329;sea;0;0;
46;1329;sea;0;0;
47;1329;sea;0;0;
48;1329;sea;0;0;
49;1329;sea;0;0;
50;1329;sea;0;0;
51;1329;sea;0;0;
52;1329;sea;0;0;
53;1329;sea;0;0;
54;1329;sea;0;0;
55;1329;sea;0;0;
56;1329;sea;0;0;
57;1329;sea;0;0;
58;1329;sea;0;0;
59;1329;sea;0;0;
60;1329;sea;0;0;
61;1329;sea;0;0;
62;1329;sea;0;0;
63;1329;sea;0;0;
64;1329;sea;0;0;
65;1329;sea;0;0;
66;1329;sea;0;0;
67;1329;sea;0;0;
68;1329;sea;0;0;
69;1329;sea;0;0;
70;1329;sea;0;0;
71;1329;sea;0;0;
72;1329;sea;0;0;
73;1329;sea;0;0;
74;1329;sea;0;0;
75;1329;sea;0;0;
76;1329;sea;0;0;
77;1329;sea;0;0;
78;1329;sea;0;0;
79;1329;sea;0;0;
80;1329;sea;0;0;
81;1329;sea;0;0;
82;1329;sea;0;0;
83;1329;sea;0;0;
84;1329;sea;0;0;
85;1329;sea;0;0;
86;1329;sea;0;0;
87;1329;sea;0;0;
88;1329;sea;0;0;
89;1329;sea;0;0;
90;1329;sea;0;0;
91;1329;sea;0;0;
92;1329;sea;0;0;
93;1329;sea;0;0;
94;1329;sea;0;0;
95;1329;sea;0;0;
96;1329;sea;0;0;
97;1329;sea;0;0;
98;1329;sea;0;0;
99;1329;sea;0;0;
100;1329;sea;0;0;
101;1329;sea;0;0;
102;1329;sea;0;0;
103;1329;sea;0;0;
104;1329;sea;0;0;
105;1329;sea;0;0;
106;1329;sea;0;0;
107;1329;sea;0;0;
108;1329;sea;0;0;
109;1329;sea;0;0;
110;1329;sea;0;0;
111;1329;sea;0;0;
112;1329;sea;0;0;
113;1329;sea;0;0;
114;1329;sea;0;0;
115;1329;sea;0;0;
116;1329;sea;0;0;
117;1329;sea;0;0;
118;1329;sea;0;0;
119;1329;sea;0;0;
120;1329;sea;0;0;
121;1329;sea;0;0;
122;1329;sea;0;0;
123;1329;sea;0;0;
124;1329;sea;0;0;
125;1329;sea;0;0;
126;1329;sea;0;0;
127;1329;sea;0;0;
128;1329;sea;0;0;
129;1329;sea;0;0;
130;1329;sea;0;0;
131;1329;sea;0;0;
132;1329;sea;0;0;
133;1329;sea;0;0;
134;1329;sea;0;0;
135;1329;sea;0;0;
136;1329;sea;0;0;
137;1329;sea;0;0;
138;1329;sea;0;0;
139;1329;sea;0;0;
140;1329;sea;0;0;
141;1329;sea;0;0;
142;1329;sea;0;0;
143;1329;sea;0;0;
144;1329;sea;0;0;
145;1329;sea;0;0;
146;1329;sea;0;0;
147;1329;sea;0;0;
148;1329;sea;0;0;
149;1329;sea;0;0;
150;1329;sea;0;0;
151;1329;sea;0;0;
152;1329;sea;0;0;
153;1329;sea;0;0;
154;1329;sea;0;0;
155;1329;sea;0;0;
156;1329;sea;0;0;
157;1329;sea;0;0;
158;1329;sea;0;0;
159;1329;sea;0;0;
160;1329;sea;0;0;
161;1329;sea;0;0;
162;1329;sea;0;0;
163;1329;sea;0;0;
164;1329;sea;0;0;
165;1329;sea;0;0;
166;1329;sea;0;0;
167;1329;sea;0;0;
168;1329;sea;0;0;
169;1329;sea;0;0;
170;1329;sea;0;0;
171;1329;sea;0;0;
172;1329;sea;0;0;
173;1329;sea;0;0;
174;1329;sea;0;0;
175;1329;sea;0;0;
176;1329;sea;0;0;
177;1329;sea;0;0;
178;1329;sea;0;0;
179;1329;sea;0;0;
180;1329;sea;0;0;
181;1329;sea;0;0;
182;1329;sea;0;0;
183;1329;sea;0;0;
184;1329;sea;0;0;
185;1329;sea;0;0;
186;1329;sea;0;0;
187;1329;sea;0;0;
188;1329;sea;0;0;
189;1329;sea;0;0;
190;1329;sea;0;0;
191;1329;sea;0;0;
192;1329;sea;0;0;
193;1329;sea;0;0;
194;1329;sea;0;0;
195;1329;sea;0;0;
196;1329;sea;0;0;
197;1329;sea;0;0;
198;1329;sea;0;0;
199;1329;sea;0;0;
200;1329;sea;0;0;
201;1329;sea;0;0;
202;1329;sea;0;0;
203;1329;sea;0;0;
204;1329;sea;0;0;
205;1329;sea;0;0;
206;1329;sea;0;0;
207;1329;sea;0;0;
208;1329;sea;0;0;
209;1329;sea;0;0;
210;1329;sea;0;0;
211;1329;sea;0;0;
212;1329;sea;0;0;
213;1329;sea;0;0;
214;1329;sea;0;0;
215;1329;sea;0;0;
216;1329;sea;0;0;
217;1329;sea;0;0;
218;1329;sea;0;0;
219;1329;sea;0;0;
220;1329;sea;0;0;
221;1329;sea;0;0;
222;1329;sea;0;0;
223;1329;sea;0;0;
224;1329;sea;0;0;
225;1329;sea;0;0;
226;1329;sea;0;0;
227;1329;sea;0;0;
228;1329;sea;0;0;
229;1329;sea;0;0;
230;1329;sea;0;0;
231;1329;sea;0;0;
232;1329;sea;0;0;
233;1329;sea;0;0;
234;1329;sea;0;0;
235;1329;sea;0;0;
236;1329;sea;0;0;
237;1329;sea;0;0;
238;1329;sea;0;0;
239;1329;sea;0;0;
240;1329;sea;0;0;
241;1329;sea;0;0;
242;1329;sea;0;0;
243;1329;sea;0;0;
244;1329;sea;0;0;
245;1329;sea;0;0;
246;1329;sea;0;0;
247;1329;sea;0;0;
248;1329;sea;0;0;
249;1329;sea;0;0;
250;1329;sea;0;0;
251;1329;sea;0;0;
252;1329;sea;0;0;
253;1329;sea;0;0;
254;1329;sea;0;0;
255;1329;sea;0;0;
256;1329;sea;0;0;
257;1329;sea;0;0;
258;1329;sea;0;0;
259;1329;sea;0;0;
260;1329;sea;0;0;
261;1329;sea;0;0;
262;1329;sea;0;0;
263;1329;sea;0;0;
264;1329;sea;0;0;
265;1329;sea;0;0;
266;1329;sea;0;0;
267;1329;sea;0;0;
268;1329;sea;0;0;
269;1329;sea;0;0;
270;1329;sea;0;0;
271;1329;sea;0;0;
272;1329;sea;0;0;
273;1329;sea;0;0;
274;1329;sea;0;0;
275;1329;sea;0;0;
276;1329;sea;0;0;
277;1329;sea;0;0;
278;1329;sea;0;0;
279;1329;sea;0;0;
280;1329;sea;0;0;
281;1329;sea;0;0;
282;1329;sea;0;0;
283;1329;sea;0;0;
284;1329;sea;0;0;
285;1329;sea;0;0;
286;1329;sea;0;0;
287;1329;sea;0;0;
288;1329;sea;0;0;
289;1329;sea;0;0;
290;1329;sea;0;0;
291;1329;sea;0;0;
292;1329;sea;0;0;
293;1329;sea;0;0;
294;1329;sea;0;0;
295;1329;sea;0;0;
296;1329;sea;0;0;
297;1329;sea;0;0;
298;1329;sea;0;0;
299;1329;sea;0;0;
300;1329;sea;0;0;
301;1329;sea;0;0;
302;1329;sea;0;0;
303;1329;sea;0;0;
304;1329;sea;0;0;
305;1329;sea;0;0;
306;1329;sea;0;0;
307;1329;sea;0;0;
308;1329;sea;0;0;
309;1329;sea;0;0;
310;1329;sea;0;0;
311;1329;sea;0;0;
312;1329;sea;0;0;
313;1329;sea;0;0;
314;1329;sea;0;0;
315;1329;sea;0;0;
316;1329;sea;0;0;
317;1329;sea;0;0;
318;1329;sea;0;0;
319;1329;sea;0;0;
320;1329;sea;0;0;
321;1329;sea;0;0;
322;1329;sea;0;0;
323;1329;sea;0;0;
324;1329;sea;0;0;
325;1329;sea;0;0;
326;1329;sea;0;0;
327;1329;sea;0;0;
328;1329;sea;0;0;
329;1329;sea;0;0;
330;1329;sea;0;0;
331;1329;sea;0;0;
332;1329;sea;0;0;
333;1329;sea;0;0;
334;1329;sea;0;0;
335;1329;sea;0;0;
336;1329;sea;0;0;
337;1329;sea;0;0;
338;1329;sea;0;0;
339;1329;sea;0;0;
340;1329;sea;0;0;
341;1329;sea;0;0;
342;1329;sea;0;0;
343;1329;sea;0;0;
344;1329;sea;0;0;
345;1329;sea;0;0;
346;1329;sea;0;0;
347;1329;sea;0;0;
348;1329;sea;0;0;
349;1329;sea;0;0;
350;1329;sea;0;0;
351;1329;sea;0;0;
352;1329;sea;0;0;
353;1329;sea;0;0;
354;1329;sea;0;0;
355;1329;sea;0;0;
356;1329;sea;0;0;
357;1329;sea;0;0;
358;1329;sea;0;0;
359;1329;sea;0;0;
360;1329;sea;0;0;
361;1329;sea;0;0;
362;1329;sea;0;0;
363;1329;sea;0;0;
364;1329;sea;0;0;
365;1329;sea;0;0;
366;1329;sea;0;0;
367;1329;sea;0;0;
368;1329;sea;0;0;
369;1329;sea;0;0;
370;1329;sea;0;0;
371;1329;sea;0;0;
372;1329;sea;0;0;
373;1329;sea;0;0;
374;1329;sea;0;0;
375;1329;sea;0;0;
376;1329;sea;0;0;
377;1329;sea;0;0;
378;1329;sea;0;0;
379;1329;sea;0;0;
380;1329;sea;0;0;
381;1329;sea;0;0;
382;1329;sea;0;0;
383;1329;sea;0;0;
384;1329;sea;0;0;
385;1329;sea;0;0;
386;1329;sea;0;0;
387;1329;sea;0;0;
388;1329;sea;0;0;
389;1329;sea;0;0;
390;1329;sea;0;0;
391;1329;sea;0;0;
392;1329;sea;0;0;
393;1329;sea;0;0;
394;1329;sea;0;0;
395;1329;sea;0;0;
396;1329;sea;0;0;
397;1329;sea;0;0;
398;1329;sea;0;0;
399;1329;sea;0;0;
400;1329;sea;0;0;
401;1329;sea;0;0;
402;1329;sea;0;0;
403;1329;sea;0;0;
404;1329;sea;0;0;
405;1329;sea;0;0;
406;1329;sea;0;0;
407;1329;sea;0;0;
408;1329;sea;0;0;
409;1329;sea;0;0;
410;1329;sea;0;0;
411;1329;sea;0;0;
412;1329;sea;0;0;
413;1329;sea;0;0;
414;1329;sea;0;0;
415;1329;sea;0;0;
416;1329;sea;0;0;
417;1329;sea;0;0;
418;1329;sea;0;0;
419;1329;sea;0;0;
420;1329;sea;0;0;
421;1329;sea;0;0;
422;1329;sea;0;0;
423;1329;sea;0;0;
424;1329;sea;0;0;
425;1329;sea;0;0;
426;1329;sea;0;0;
427;1329;sea;0;0;
428;1329;sea;0;0;
429;1329;sea;0;0;
430;1329;sea;0;0;
431;1329;sea;0;0;
432;1329;sea;0;0;
433;1329;sea;0;0;
434;1329;sea;0;0;
435;1329;sea;0;0;
436;1329;sea;0;0;
437;1329;sea;0;0;
438;1329;sea;0;0;
439;1329;sea;0;0;
440;1329;sea;0;0;
441;1329;sea;0;0;
442;1329;sea;0;0;
443;1329;sea;0;0;
444;1329;sea;0;0;
445;1329;sea;0;0;
446;1329;sea;0;0;
447;1329;sea;0;0;
448;1329;sea;0;0;
449;1329;sea;0;0;
450;1329;sea;0;0;
451;1329;sea;0;0;
452;1329;sea;0;0;
453;1329;sea;0;0;
454;1329;sea;0;0;
455;1329;sea;0;0;
456;1329;sea;0;0;
457;1329;sea;0;0;
458;1329;sea;0;0;
459;1329;sea;0;0;
460;1329;sea;0;0;
461;1329;sea;0;0;
462;1329;sea;0;0;
463;1329;sea;0;0;
464;1329;sea;0;0;
465;1329;sea;0;0;
466;1329;sea;0;0;
467;1329;sea;0;0;
468;1329;sea;0;0;
469;1329;sea;0;0;
470;1329;sea;0;0;
471;1329;sea;0;0;
472;1329;sea;0;0;
473;1329;sea;0;0;
474;1329;sea;0;0;
475;1329;sea;0;0;
476;1329;sea;0;0;
477;1329;sea;0;0;
478;1329;sea;0;0;
479;1329;sea;0;0;
480;1329;sea;0;0;
481;1329;sea;0;0;
482;1329;sea;0;0;
483;1329;sea;0;0;
484;1329;sea;0;0;
485;1329;sea;0;0;
486;1329;sea;0;0;
487;1329;sea;0;0;
488;1329;sea;0;0;
489;1329;sea;0;0;
490;1329;sea;0;0;
491;1329;sea;0;0;
492;1329;sea;0;0;
493;1329;sea;0;0;
494;1329;sea;0;0;
495;1329;sea;0;0;
496;1329;sea;0;0;
497;1329;sea;0;0;
498;1329;sea;0;0;
499;1329;sea;0;0;
500;1329;sea;0;0;
501;1329;sea;0;0;
502;1329;sea;0;0;
503;1329;sea;0;0;
504;1329;sea;0;0;
505;1329;sea;0;0;
506;1329;sea;0;0;
507;1329;sea;0;0;
508;1329;sea;0;0;
509;1329;sea;0;0;
510;1329;sea;0;0;
511;1329;sea;0;0;
512;1329;sea;0;0;
513;1329;sea;0;0;
514;1329;sea;0;0;
515;1329;sea;0;0;
516;1329;sea;0;0;
517;1329;sea;0;0;
518;1329;sea;0;0;
519;1329;sea;0;0;
520;1329;sea;0;0;
521;1329;sea;0;0;
522;1329;sea;0;0;
523;1329;sea;0;0;
524;1329;sea;0;0;
525;1329;sea;0;0;
526;1329;sea;0;0;
527;1329;sea;0;0;
528;1329;sea;0;0;
529;1329;sea;0;0;
530;1329;sea;0;0;
531;1329;sea;0;0;
532;1329;sea;0;0;
533;1329;sea;0;0;
534;1329;sea;0;0;
535;1329;sea;0;0;
536;1329;sea;0;0;
537;1329;sea;0;0;
538;1329;sea;0;0;
539;1329;sea;0;0;
540;1329;sea;0;0;
541;1329;sea;0;0;
542;1329;sea;0;0;
543;1329;sea;0;0;
544;1329;sea;0;0;
545;1329;sea;0;0;
546;1329;sea;0;0;
547;1329;sea;0;0;
548;1329;sea;0;0;
549;1329;sea;0;0;
550;1329;sea;0;0;
551;1329;sea;0;0;
552;1329;sea;0;0;
553;1329;sea;0;0;
554;1329;sea;0;0;
555;1329;sea;0;0;
556;1329;sea;0;0;
557;1329;sea;0;0;
558;1329;sea;0;0;
559;1329;sea;0;0;
560;1329;sea;0;0;
561;1329;sea;0;0;
562;1329;sea;0;0;
563;1329;sea;0;0;
564;1329;sea;0;0;
565;1329;sea;0;0;
566;1329;sea;0;0;
567;1329;sea;0;0;
568;1329;sea;0;0;
569;1329;sea;0;0;
570;1329;sea;0;0;
571;1329;sea;0;0;
572;1329;sea;0;0;
573;1329;sea;0;0;
574;1329;sea;0;0;
575;1329;sea;0;0;
576;1329;sea;0;0;
577;1329;sea;0;0;
578;1329;sea;0;0;
579;1329;sea;0;0;
580;1329;sea;0;0;
581;1329;sea;0;0;
582;1329;sea;0;0;
583;1329;sea;0;0;
584;1329;sea;0;0;
585;1329;sea;0;0;
586;1329;sea;0;0;
587;1329;sea;0;0;
588;1329;sea;0;0;
589;1329;sea;0;0;
590;1329;sea;0;0;
591;1329;sea;0;0;
592;1329;sea;0;0;
593;1329;sea;0;0;
594;1329;sea;0;0;
595;1329;sea;0;0;
596;1329;sea;0;0;
597;1329;sea;0;0;
598;1329;sea;0;0;
599;1329;sea;0;0;
600;1329;sea;0;0;
601;1329;sea;0;0;
602;1329;sea;0;0;
603;1329;sea;0;0;
604;1329;sea;0;0;
605;1329;sea;0;0;
606;1329;sea;0;0;
607;1329;sea;0;0;
608;1329;sea;0;0;
609;1329;sea;0;0;
610;1329;sea;0;0;
611;1329;sea;0;0;
612;1329;sea;0;0;
613;1329;sea;0;0;
614;1329;sea;0;0;
615;1329;sea;0;0;
616;1329;sea;0;0;
617;1329;sea;0;0;
618;1329;sea;0;0;
619;1329;sea;0;0;
620;1329;sea;0;0;
621;1329;sea;0;0;
622;1329;sea;0;0;
623;1329;sea;0;0;
624;1329;sea;0;0;
625;1329;sea;0;0;
626;1329;sea;0;0;
627;1329;sea;0;0;
628;1329;sea;0;0;
629;1329;sea;0;0;
630;1329;sea;0;0;
631;1329;sea;0;0;
632;1329;sea;0;0;
633;1329;sea;0;0;
634;1329;sea;0;0;
635;1329;sea;0;0;
636;1329;sea;0;0;
637;1329;sea;0;0;
638;1329;sea;0;0;
639;1329;sea;0;0;
640;1329;sea;0;0;
641;1329;sea;0;0;
642;1329;sea;0;0;
643;1329;sea;0;0;
644;1329;sea;0;0;
645;1329;sea;0;0;
646;1329;sea;0;0;
647;1329;sea;0;0;
648;1329;sea;0;0;
649;1329;sea;0;0;
650;1329;sea;0;0;
651;1329;sea;0;0;
652;1329;sea;0;0;
653;1329;sea;0;0;
654;1329;sea;0;0;
655;1329;sea;0;0;
656;1329;sea;0;0;
657;1329;sea;0;0;
658;1329;sea;0;0;
659;1329;sea;0;0;
660;1329;sea;0;0;
661;1329;sea;0;0;
662;1329;sea;0;0;
663;1329;sea;0;0;
664;1329;sea;0;0;
665;1329;sea;0;0;
666;1329;sea;0;0;
667;1329;sea;0;0;
668;1329;sea;0;0;
669;1329;sea;0;0;
670;1329;sea;0;0;
671;1329;sea;0;0;
672;1329;sea;0;0;
673;1329;sea;0;0;
674;1329;sea;0;0;
675;1329;sea;0;0;
676;1329;sea;0;0;
677;1329;sea;0;0;
678;1329;sea;0;0;
679;1329;sea;0;0;
680;1329;sea;0;0;
681;1329;sea;0;0;
682;1329;sea;0;0;
683;1329;sea;0;0;
684;1329;sea;0;0;
685;1329;sea;0;0;
686;1329;sea;0;0;
687;1329;sea;0;0;
688;1329;sea;0;0;
689;1329;sea;0;0;
690;1329;sea;0;0;
691;1329;sea;0;0;
692;1329;sea;0;0;
693;1329;sea;0;0;
694;1329;sea;0;0;
695;1329;sea;0;0;
696;1329;sea;0;0;
697;1329;sea;0;0;
698;1329;sea;0;0;
699;1329;sea;0;0;
700;1329;sea;0;0;
701;1329;sea;0;0;
702;1329;sea;0;0;
703;1329;sea;0;0;
704;1329;sea;0;0;
